,0,1
370,CFHTLS-VAR-J142221.46+525831.2,24743
371,CFHTLS-VAR-J221725.09-171941.1,24938
372,CFHTLS-VAR-J022705.17-040715.1,24951
373,CFHTLS-VAR-J095846.45+020909.4,25137
374,CFHTLS-VAR-J141921.50+521643.8,25189
375,CFHTLS-VAR-J100134.71+015648.4,25480
376,CFHTLS-VAR-J095931.99+020807.5,25536
377,CFHTLS-VAR-J221447.55-174324.5,25545
378,CFHTLS-VAR-J141631.71+521700.2,25600
379,CFHTLS-VAR-J221327.17-174105.6,25604
380,CFHTLS-VAR-J022742.28-040609.4,25626
381,CFHTLS-VAR-J141824.37+521428.1,25702
382,CFHTLS-VAR-J095903.13+024142.8,25809
383,CFHTLS-VAR-J022541.60-045716.5,25869
384,CFHTLS-VAR-J141747.53+525559.5,25891
385,CFHTLS-VAR-J221728.19-171648.2,25896
386,CFHTLS-VAR-J022652.61-042729.3,25952
387,CFHTLS-VAR-J221720.26-175451.1,26059
388,CFHTLS-VAR-J022755.02-043034.1,26136
389,CFHTLS-VAR-J100158.06+020502.7,26268
390,CFHTLS-VAR-J221513.15-173022.4,26470
391,CFHTLS-VAR-J221533.50-173824.5,26530
392,CFHTLS-VAR-J142116.27+525948.9,26563
393,CFHTLS-VAR-J022449.87-043025.9,26707
394,CFHTLS-VAR-J221557.96-172439.5,26725
395,CFHTLS-VAR-J221530.62-174431.0,26746
396,CFHTLS-VAR-J142122.95+525701.8,26757
